,artist,album,year
521,BandaLusa,20 anos,2009
548,BandaLusa,Música no coração,2010
523,BandaLusa,Do jeito que o povo gosta,2013
391,Bandalusa,Febre de sábado à noite,2014
131,Berg,Berg,2015
208,Beto,Olhar em frente,2005
398,Beto,Influências,2005
29,Beto,Porto de abrigo,2007
426,Beto,Por minha conta e risco,2008
79,Beto,Memórias esquecidas,2011
187,Beto,O melhor de Beto,2011
375,Beto,Colecção grandes êxitos,2011
185,Beto & Ménito,Cumplicidade a duas vozes,2010
22,Boss AC,"Ritmo, amor e palavras",2006
309,Boss AC,Preto no branco,2009
244,Boss AC,AC para os amigos,2012
394,Boss AC,Patrão,2018
615,Boss AC,A vida continua...,2018
524,Boy Teddy,Number One,2015
245,Bruno Mendez,Um só sentido,2013
200,Buraka Som Sistema,Black Diamond,2009
608,Buraka Som Sistema,Komba,2011
479,Buraka Som Sistema,Buraka,2014
505,Bárbara Bandeira,Cartas,2018
225,Caelums Edge,Enigma,2016
6,Camané,Como sempre... Como dantes,2004
62,Camané,Sempre de mim,2009
520,Camané,Ao vivo no coliseu - Sempre de mim,2009
233,Camané,Do amor e dos dias,2011
268,Camané,O melhor 1995-2013,2014
393,Camané,Infinito presente,2016
170,Camané,Camané canta Marceneiro,2018
646,Camané & Mário Laginha,Aqui está-se sossegado,2019
283,Capicua,Sereia louca,2014
285,Capicua,Medusa - Algumas remisturas e uma ou outra coisa novacapicua,2015
237,Capicua & Pedro Geraldes,Mão verde,2017
223,Capitão Fausto,Pesar o sol,2014
154,Capitão Fausto,Capitão Fausto têm os dias contados,2017
308,Capitão Fausto,A invenção do dia claro,2019
494,Carlos Do Carmo,Oitenta,2019
376,Carlos Mendes,A festa da vida,2018
378,Carlos Paião,Letra e musica - 15 anos depois,2005
296,Carlos Paião,Letra e musica - 25 anos depois,2013
357,Carlos do Carmo,Ao vivo - Coliseu dos recreios,2004
54,Carlos do Carmo,Fado maestro,2009
117,Carlos do Carmo,Fado é amor,2014
84,Carlos do Carmo & Bernardo Sassetti,Carlos do Carmo & Bernardo Sassetti,2011
562,Carlão,Entretenimento?,2018
73,Carminho,Fado,2010
104,Carminho,Alma,2013
127,Carminho,Canto,2015
147,Carminho,Carminho canta Tom Jobim,2017
179,Carminho,Maria,2019
610,Carolina Deslandes,Carolina Deslandes,2012
255,Carolina Deslandes,Blossom,2016
195,Carolina Deslandes,Casa,2019
82,Chave d'Ouro,Pai da criança,2011
276,Cindy Kat,Cindy Kat,2006
488,Classificados,Perdidos e achados,2011
396,Clã,Rosa carne,2004
580,Clã,Vivo,2005
425,Clã,Cintura,2008
385,Clã,Disco voador,2011
320,Clã,Corrente,2014
525,Clã,O melhor dos Clã,2016
218,Corvos,The Jinx,2008
197,Cristina Branco,Ulisses,2005
626,Cristina Branco,Abril,2007
301,Cristina Branco,Kronos,2009
279,Cristina Branco,Não há só tangos em Paris,2011
262,Cristina Branco,Alegria,2013
560,Cristina Branco,Menina,2016
273,Cristina Branco,Branco,2018
315,Cuca Roseta,Cuca Roseta,2011
402,Cuca Roseta,Raíz,2013
431,Cuca Roseta,Riû,2015
193,Cuca Roseta,Luz,2018
635,Cuca Roseta,Luz de Natal,2018
414,D'ZRT,D'zrt,2005
15,D'ZRT,Ao vivo no Coliseus,2006
28,D'ZRT,Original,2007
64,D'ZRT,Project,2010
124,D.A.M.A.,Uma questão de princípio,2015
136,D.A.M.A.,Dá-me um segundo,2016
10,Da Weasel,Re-Definições,2005
20,Da Weasel,Ao Vivo - Coliseus,2006
358,Da Weasel,"Amor, escárnio e maldizer",2007
248,Danças Ocultas,Amplitude,2016
578,Danças Ocultas,Dentro desse mar,2018
89,David Carreira,N.1,2012
116,David Carreira,A força está em nós,2014
133,David Carreira,3,2016
153,David Carreira,360° Live campo pequeno,2017
434,David Carreira,1991,2017
176,David Carreira,7,2019
603,David Fonseca,Our Hearts Will Beat As One,2005
48,David Fonseca,Dreams In Colour,2008
72,David Fonseca,Between Waves,2010
566,David Fonseca,Seasons - Falling,2012
265,David Fonseca,Seasons,2013
593,David Fonseca,Futuro eu,2015
453,David Fonseca,Radio Gemini,2018
373,Dead Combo,Lusitânia Playboys,2008
418,Dead Combo,Lisboa mulata,2012
429,Dead Combo,Dead Combo,2012
297,Dead Combo,A Bunch Of Meninos,2014
368,Dead Combo,Odeon Hotel,2018
205,Dealema,Alvorada da alma,2014
8,Delfins,O caminho da felicidade II,2004
77,Delfins,"25 anos, 25 êxitos, 1 abraço",2011
576,Delfins,"Ser maior, uma história natural",2015
144,Dengaz,Para sempre,2016
156,Dengaz,Para sempre Unplugged,2017
51,Deolinda,Canção ao lado,2009
83,Deolinda,Dois selos e um carimbo,2011
95,Deolinda,Deolinda no coliseu dos recreios,2012
305,Deolinda,Mundo pequenino,2013
158,Deolinda,Outras histórias,2017
